sep=,
crm_guid,crm_code,crm_name,crm_doelgroep,crm_locatietype
7a80d7b9-d76e-e811-80f7-005056956c1a,NWO,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,Onderzoeksinstellingen,Hoofdlocatie
d0ba7775-0911-e511-80d0-005056956c1a,NWOI,Stichting Nederlandse Wetenschappelijk Onderzoek Instituten,Onderzoeksinstellingen,Hoofdlocatie
e8be88c5-0911-e511-80d0-005056956c1a,NYENRODE,Nyenrode Business Universiteit,Overig hoger onderwijs,Hoofdlocatie
12bf88c5-0911-e511-80d0-005056956c1a,OBA,Openbare Bibliotheek Amsterdam,Bibliotheken,Hoofdlocatie
08bf88c5-0911-e511-80d0-005056956c1a,OU,Open Universiteit Nederland,Universiteiten,Hoofdlocatie
4b1cadc4-0b11-e511-80d0-005056956c1a,OWGTILBURG,Yonder,MBO,Hoofdlocatie
407f27ac-0b11-e511-80d0-005056956c1a,PBL,Planbureau voor de Leefomgeving,Onderzoeksinstellingen,Hoofdlocatie
9c322754-7868-e711-80e8-005056956c1a,PMC,Prinses Máxima Centrum voor kinderoncologie,Onderzoeksinstellingen,Hoofdlocatie
987dd7b9-d76e-e811-80f7-005056956c1a,PThU,Protestantse Theologische Universiteit,Overig hoger onderwijs,Hoofdlocatie
7519b9d7-0911-e511-80d0-005056956c1a,RIJC,Rijn IJssel,MBO,Hoofdlocatie
ba7dd7b9-d76e-e811-80f7-005056956c1a,RIJKSDIENSTCE,Rijksdienst voor het Cultureel Erfgoed,Onderzoeksinstellingen,Hoofdlocatie
d8fdba5c-0b11-e511-80d0-005056956c1a,RIJKSMUSEUM,Rijksmuseum Amsterdam,Musea,Hoofdlocatie
4f73b4a6-0d11-e511-80d0-005056956c1a,RIJNSTATE,Rijnstate Ziekenhuis,STZ,Hoofdlocatie
c1adb9d1-0911-e511-80d0-005056956c1a,RIVM,Rijksinstituut voor Volksgezondheid en Milieu,Onderzoeksinstellingen,Hoofdlocatie
7f1a9e8c-e0df-e711-80ed-005056956c1a,RIVOR,ROC Rivor,MBO,Hoofdlocatie
66d10540-0a11-e511-80d0-005056956c1a,ROC-EHV,Stichting ROC Summa College,MBO,Hoofdlocatie
fbadb9d1-0911-e511-80d0-005056956c1a,ROC-NIJMEGEN,ROC Nijmegen,MBO,Hoofdlocatie
8019b9d7-0911-e511-80d0-005056956c1a,ROC-ON,ROC van Twente,MBO,Hoofdlocatie
